Template,1,2,3,4,5,6,7,8,9,10,11,12
A,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB2.5,quench_MUB2.6,,,Hombl,Buf
B,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB2.5,quench_MUB2.6,,,Hombl,Buf
C,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB1.25,quench_MUB1.26,,,Hombl,Buf
D,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB1.25,quench_MUB1.26,,,Hombl,Buf
E,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.625,quench_MUB0.626,,,Hombl,Buf
F,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.625,quench_MUB0.626,,,Hombl,Buf
G,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.16,quench_MUB0.17,,,Hombl,Buf
H,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.16,quench_MUB0.17,,,Hombl,Buf
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,496,678,1592,9853,705,520,6900,6970,106,102,117,57
B,499,678,1493,9829,712,475,7709,6714,104,104,120,58
C,493,676,1420,9416,743,458,3845,3427,104,104,120,58
D,494,663,1493,10051,754,521,3811,3849,102,105,121,60
E,9359,757,1325,9751,692,455,1920,1791,103,104,122,58
F,9807,756,1468,10637,841,512,1880,1992,106,105,122,106
G,9480,736,2077,9793,756,503,576,568,106,107,122,60
H,9248,758,1595,10167,786,529,584,628,108,109,126,58
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,mub_2.5,mub_2.5,,,,
B,,,,,,,mub_2.5,mub_2.5,,,,
C,,,,,,,mub_1.25,mub_1.25,,,,
D,,,,,,,mub_1.25,mub_1.25,,,,
E,,,,,,,mub_0.625,mub_0.625,,,,
F,,,,,,,mub_0.625,mub_0.625,,,,
G,,,,,,,mub_0.16,mub_0.16,,,,
H,,,,,,,mub_0.16,mub_0.16,,,,
